sentiment,weight,associated words
treatment,1003,"god, love, keep, arianinfusions, fit, choose, periods, far, make, become, miraculous, skip, quickly, plainly, attack, nervous, cold, trials, felt, age, remission, refuse, walk, continue, female, rheumatologist, recommend, blame, thank, plan, due, symptoms, xeljanz, 38, burn, return, forth, injections, son, crazy, reducedblurred, wonderful, year, change, hat, spend, sideeffects, receive, send, day, prescribe, thing, saver, ago, load, heat, amaze, eliminate, improve, put, enbrel, back, experience, best, fight, cover, necessarily, negative, successful, unstable, fistulas, leave, close, diseases, medicine, mean, medicine, try, aria, discontinue, miracle, cause, infusion, pouch, run, third, treat, come, begin, previously, second, turn, magic, suffer, shots, want, use, needle, able, lower, sprain, end, start, initial, blessing, weeks, swim, serum, new, incur, restart, say, expensive, stay, treatmentoption, cycle, suggest, much, failure, embrel, save, treatments, treatment, life, stop, topicals, wasnt, free, seem, star, resolve, lucky, relieve, pilates, horrible, debilitate, pen, triple, overall, clear, years, respond, transfusions, thoughts, meds, besttreatment, problems, get, incredible, even, light, give, lifesaver, offer, result, especially, contributor, verge, include, option, iv, medication, help, go, inventors, addictive, brother, drug, normal, deny, tell, take, tnfblocker, headaches, infusions, fail, effective, husband, team, worth, twork, injection, immediately, decision, complicate, report, work, read, puva, decision, medicineive, kick, still, 4th, lifesend, 40mg, great, male, pain, wear, embral, first, hip, long"
pain,262,"accompany, far, wholebody, make, sleep, lose, become, joint, way, alleviate, muscle, slight, abdominal, killers, felt, bar, bad, walk, continue, chronic, blame, symptoms, burn, extreme, return, weird, significant, swell, lessen, excruciate, body, put, jump, day, back, experience, best, ear, omg, sideeffect, mistake, terrible, everywhere, remember, cause, increase, major, bunions, awful, come, expand, suffer, wake, use, lower, pills, end, chest, start, reappear, worsen, radiate, nausea, little, gut, less, happy, much, almost, intolerable, treatment, stop, free, flareup, stomachpain, shoulder, horrible, debilitate, develop, gurgle, meds, get, flare, ibd, bone, result, notice, worse, backhip, constant, tendonlike, knee, usual, help, go, blue, misdiagnosing, moderate, normal, bring, tell, take, constipation, severe, unbearable, constantly, work, still, ribpain, 4th, low, absolutely, great, hive, pain, bleed, call, feel"
disease,159,"people, progress, keep, legionnaires, ravish, ever, kidney, weeks, put, make, daily, nonexistent, become, mild, difficult, positive, help, grovers, experience, sero, Out of range, onset, dreadful, unmanageable, remission, seronegative, fight, negative, treatments, fibromyalgia, entivyo, heinous, take, acute, activity, diseases, uc, diagnosis, march, affect, symptoms, severe, try, diabetes, horrible, patient, develop, clear, active, acquire, meds, get, treat, learn, juvenile, come, already, control, sudden, give, cry, flare, research, diagnose, wit"
life,137,"bearable, transform, good, different, new, sleep, lose, entire, wreck, go, doctor, back, threaten, regain, regular, sideeffect, risk, lead, save, normal, cost, treatment, chaos, bless, pass, free, bobby, look, strongly, live, somewhat, hard, ruin, everyday, change, enjoy, get, begin, owe, seminormal, give, full, turn, whole, want"
drug,127,"19, start, love, amaze, substitute, worst, choose, new, put, make, kill, months, like, induce, plummet, wonder, help, peopleabbotts, doctor, strong, best, dangerous, suggest, vicodin, cover, really, bring, continue, save, take, treatment, relax, recommend, stop, last, old, free, detetiorated, seem, terrible, available, pray, try, miracle, advise, wish, horrible, work, wonderful, relate, change, produce, delay, first, alternative, excellent, fantastic, find, great, give, responsible, send, tolerate, lifesaver, 40, suffer, require, effect, improve, anyway"
psoriasis,114,"plaque, notice, start, pustular, scalp, see, disable, make, lose, lbs, induce, servere, go, palmarplantar, back, think, one, regular, contract, need, reduce, walk, bad, take, happen, life, free, chronic, old, soothe, resolve, fade, severe, horrible, plaques, maybe, develop, clear, guttate, change, get, come, great, flare, pain, use"
infusion,93,"ago, start, love, initial, right, center, 2nd, 9th, thankful, iv, 1st, restart, extend, inconvenience, go, 103rd, remission, take, last, bypass, close, medicine, seem, fine, due, week, 6th, next, april, debilitate, third, get, 3rd, second, 4th, come, receive, flare, follow, crash, suffer, first, subsequent"
time,91,"right, see, effect, months, make, waste, set, entire, 1st, throw, call, build, go, doctor, almost, tell, take, every, treatment, stop, last, ’, free, previous, hurt, short, seem, remember, brief, mean, wish, report, occur, hard, bed, awful, get, give, know, full, whole, lengthen, thing, consume, first, feel, diagnose, long"
injection,89,"benadryl, initial, start, shortly, 2nd, let, 1st, help, back, efferct, felt, bad, take, treatment, finish, friday, symptoms, injection, try, stellar, cause, pen, next, painful, 5th, monthly, clear, third, treatmentinjection, athome, 4th, get, second, withhold, receive, give, face, dose, miss, use, first, feel"
doctor,78,"test, love, hop, see, new, put, make, 1st, help, say, time, think, regular, switch, decide, suggest, deny, tell, treatment, take, recommend, stop, assure, g, indicate, vacation, increase, prove, flareups, visit, change, listen, get, excellent, find, surgery, give, fault, prescribe, question, want, call, conceive, introduce"
