text_index,medication,rate,comment
0,Inflectra (infliximab) for Crohn's Disease,1,"Insurance forced me to switch to inflectra due to being cheaper for THEM for my Crohn's. I did not have a say, and insurance won't listen to Dr. recommendations. While on Remicade I only had flare ups 3 days a month during my period,  but no other issues or side effects. Yet after only 2 infusions on Inflectra I have multiple daily loose stools regardless of healthy diet, as well as bloody stools at least once a day.  In addition to Inflectra not preventing flare ups, inflammation, and symptoms; Inflectra has incurred more issues that I didn't have previously:
Kidney pain
Rib Pain
Joint pain: shoulders,  wrists,  ankles.
Nausea
Headaches
Severe Fatigue 
Charlie horse cramping in my hands, where I can't move my thumb; it's completely contracted.

I'm in my early 40's with a toddler to try to keep up with,  as well as career to maintain, and this isn't fair to me or my family."
1,Remicade (infliximab) for Rheumatoid Arthritis,,My wife had RA from when she was a child. She had used the normal meds till remicade. She was in Japan and started on remicade in Apr 2007 and die in Feb 2008 from the reactions/side effect to it. I advise that if you get any of the side effect symptoms to see your doctor right away. I have found that if you get one symptom you will get more. There are 3 pages of side effects/reactions.
2,Remicade (infliximab) for Ulcerative Colitis,1,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life."
3,Inflectra (infliximab) for Crohn's Disease,1,"I have Fistulizing Crohn's, dx'd 6 yrs ago @ 36yo- 11 surgeries since then: abscesses, fistulae, drains. 
Years of my life, my career, independence & ability to have biological children lost but Remicade saved my life. I've been in Remission since early 2018-.Trough levels in high 20's.
At JUST that time, my insurance made mandatory switch: ALL patients on Remicade to Inflectra. Since that time, trough levels have steadily dropped to where I'm near rejection & TERRIFIED to start developing abscesses & fistulas again- I'd rather die. Seriously.
I'm now writing to Medicare Commissioner who's probably some paper pusher w/o any IBD training to SAVE MY LIFE & give back my Remicade. Insanity. My doctor is  writing a letter on my behalf but she told me that she has been denied EVERY SINGLE TIME she's requested her patients moved BACK to Remicade. It's criminal that insurance companies pick drug therapy for a disease that literally BURROWS HOLES through my body. I am only 42 & deserve a chance."
4,Remicade (infliximab) for Ulcerative Colitis,10,"Remicade literally gave me my life back 9 yrs ago.  I was so ill ; in & out of hospitals, steroids, taking 20+ pills a day & I was still extremely sick.  I finally went to Philly (where on my first visit, they were planning my surgery to remove my colon..during that conversation I stopped listening.) My dr. suggested I give Remicade a try - before surgery.  At that point, I would have done anything.   Honestly I did not believe anything would work since I had this disease for years and could barely function.  The Remicade worked like magic - it is liquid gold - I have never had any side effects or adverse reactions -  I have been in remission ever since!"
5,Remicade (infliximab) for Ulcerative Colitis,10,"Life-changing. I once thought I was doomed to a life of pain and suffering. Now that I've been on Remicade for 3 years, I feel like a normal human being again. My disease has become a small part of my life and I don't even think about it much anymore. 

I do seem to be slowly losing response. I had to increase the frequency of infusions and now I sometimes have minor symptoms around the time I am due for my next dose. 

I was nervous when I started this medicine because of the trips to the hospital for infusions and because my doctor at the time made it sound like a huge deal to be on this. I wish I had started it sooner!"
6,Remicade (infliximab) for Rheumatoid Arthritis,10,"Horrible joint swelling/pain, fatigue like none other.  Diagnosed with rheumatoid arthritis, Dr. figures I probably have had this 15 years, a few replacements along the way.  Took MAJOR flare to be diagnosed.  Loads of joint damage all over.  Started on Remicade, nervous.  Cannot take methotrexate due to kidney disease.  Third dose dr increased dose, 5 days feeling worn then MIRACLE!  NO swelling, pain, best I have been in years, no fatigue.  Hoping it continues with each infusion.  In tears of joy everyday with my quality of life."
7,"Remicade (infliximab) for Crohn's Disease, Maintenance",10,"I have been on Remicade for nearly 4 years.  Prior to that I had a variety of Crohn's issues including two surgeries for peri-anal fistulas, severe fatigue and lots of other fun stuff.  I have been very lucky in that I have responded very well to the stuff and now most days I am fortunate enough to forget I have the disease.  I was apprehensive about potential side effects but to date have experienced none.  Prior to Remicade I took a few medications which did absolutely nothing but the Remicade had a pronounced effect within 24 hours of my first infusion.  If you have Crohn's or Colitis would seriously consider an anti TNF blocker (haven't used any of the others) and stay the hell away from steroids."
8,Remicade (infliximab) for Ulcerative Colitis,10,"I had a second relapse of Ulcerative Colitis in 2005. I spent 2 weeks in hospital, been given a fist full of medicines and sent home. Nothing worked. I contemplated having surgery to free me of the disease and wear an ostomy. To my eternal gratitude, my Gastro MD suggested Remicade. After my last colonoscopy in 2013, he said if I had not seen you as sick as you were... your colon looks perfectly healthy. I will accept the side effects (I have experienced none as of yet) to have my life back. Remicade has assistance programs to help those who need it. I am not a spokesman, I do not sell this. But I use and will as long as I can. I wish this medicine was around for my Dad as he suffered with Crohns and Colitis for years."
9,Remicade (infliximab) for Psoriatic Arthritis,10,"I have been taking this med for over ten years now truly a life saver. I have had no side effects and have been able to do almost everything I used too. I only take Remicade, no methotrexate as I took myself off of that because of liver side effects. I also have for several years now extended my infusion out to every 10 weeks I am the only patient I know who does this. I have not seen any negative effects from doing this. Great drug"
