text_index,medication,rate,comment,cleaned_comment,Treatment name,Treatment code,Disease,sentiment,sentiment_score
0,inflectra infliximab for crohns disease,1.0,"Insurance forced me to switch to inflectra due to being cheaper for THEM for my Crohn's. I did not have a say, and insurance won't listen to Dr. recommendations. While on Remicade I only had flare ups 3 days a month during my period,  but no other issues or side effects. Yet after only 2 infusions on Inflectra I have multiple daily loose stools regardless of healthy diet, as well as bloody stools at least once a day.  In addition to Inflectra not preventing flare ups, inflammation, and symptoms; Inflectra has incurred more issues that I didn't have previously:
Kidney pain
Rib Pain
Joint pain: shoulders,  wrists,  ankles.
Nausea
Headaches
Severe Fatigue 
Charlie horse cramping in my hands, where I can't move my thumb; it's completely contracted.

I'm in my early 40's with a toddler to try to keep up with,  as well as career to maintain, and this isn't fair to me or my family.",insurance forced switch treatment_name due cheaper disease's.,inflectra,infliximab,crohns disease,NEGATIVE,0.9959666728973389
0,inflectra infliximab for crohns disease,1.0,"Insurance forced me to switch to inflectra due to being cheaper for THEM for my Crohn's. I did not have a say, and insurance won't listen to Dr. recommendations. While on Remicade I only had flare ups 3 days a month during my period,  but no other issues or side effects. Yet after only 2 infusions on Inflectra I have multiple daily loose stools regardless of healthy diet, as well as bloody stools at least once a day.  In addition to Inflectra not preventing flare ups, inflammation, and symptoms; Inflectra has incurred more issues that I didn't have previously:
Kidney pain
Rib Pain
Joint pain: shoulders,  wrists,  ankles.
Nausea
Headaches
Severe Fatigue 
Charlie horse cramping in my hands, where I can't move my thumb; it's completely contracted.

I'm in my early 40's with a toddler to try to keep up with,  as well as career to maintain, and this isn't fair to me or my family.","say, insurance listen dr. recommendations.",inflectra,infliximab,crohns disease,POSITIVE,0.8946647047996521
0,inflectra infliximab for crohns disease,1.0,"Insurance forced me to switch to inflectra due to being cheaper for THEM for my Crohn's. I did not have a say, and insurance won't listen to Dr. recommendations. While on Remicade I only had flare ups 3 days a month during my period,  but no other issues or side effects. Yet after only 2 infusions on Inflectra I have multiple daily loose stools regardless of healthy diet, as well as bloody stools at least once a day.  In addition to Inflectra not preventing flare ups, inflammation, and symptoms; Inflectra has incurred more issues that I didn't have previously:
Kidney pain
Rib Pain
Joint pain: shoulders,  wrists,  ankles.
Nausea
Headaches
Severe Fatigue 
Charlie horse cramping in my hands, where I can't move my thumb; it's completely contracted.

I'm in my early 40's with a toddler to try to keep up with,  as well as career to maintain, and this isn't fair to me or my family.","treatment_name flare ups 3 day month period, issue side effects.",inflectra,infliximab,crohns disease,NEGATIVE,0.9831356406211853
0,inflectra infliximab for crohns disease,1.0,"Insurance forced me to switch to inflectra due to being cheaper for THEM for my Crohn's. I did not have a say, and insurance won't listen to Dr. recommendations. While on Remicade I only had flare ups 3 days a month during my period,  but no other issues or side effects. Yet after only 2 infusions on Inflectra I have multiple daily loose stools regardless of healthy diet, as well as bloody stools at least once a day.  In addition to Inflectra not preventing flare ups, inflammation, and symptoms; Inflectra has incurred more issues that I didn't have previously:
Kidney pain
Rib Pain
Joint pain: shoulders,  wrists,  ankles.
Nausea
Headaches
Severe Fatigue 
Charlie horse cramping in my hands, where I can't move my thumb; it's completely contracted.

I'm in my early 40's with a toddler to try to keep up with,  as well as career to maintain, and this isn't fair to me or my family.","yet 2 infusion treatment_name multiple daily loose stool regardless healthy diet, well bloody stool least day.",inflectra,infliximab,crohns disease,NEGATIVE,0.991193950176239
0,inflectra infliximab for crohns disease,1.0,"Insurance forced me to switch to inflectra due to being cheaper for THEM for my Crohn's. I did not have a say, and insurance won't listen to Dr. recommendations. While on Remicade I only had flare ups 3 days a month during my period,  but no other issues or side effects. Yet after only 2 infusions on Inflectra I have multiple daily loose stools regardless of healthy diet, as well as bloody stools at least once a day.  In addition to Inflectra not preventing flare ups, inflammation, and symptoms; Inflectra has incurred more issues that I didn't have previously:
Kidney pain
Rib Pain
Joint pain: shoulders,  wrists,  ankles.
Nausea
Headaches
Severe Fatigue 
Charlie horse cramping in my hands, where I can't move my thumb; it's completely contracted.

I'm in my early 40's with a toddler to try to keep up with,  as well as career to maintain, and this isn't fair to me or my family.","addition treatment_name preventing flare ups, inflammation, symptoms; treatment_name incurred issue previously: kidney pain rib pain joint pain: shoulders, wrists, ankles.",inflectra,infliximab,crohns disease,NEGATIVE,0.9719407558441162
0,inflectra infliximab for crohns disease,1.0,"Insurance forced me to switch to inflectra due to being cheaper for THEM for my Crohn's. I did not have a say, and insurance won't listen to Dr. recommendations. While on Remicade I only had flare ups 3 days a month during my period,  but no other issues or side effects. Yet after only 2 infusions on Inflectra I have multiple daily loose stools regardless of healthy diet, as well as bloody stools at least once a day.  In addition to Inflectra not preventing flare ups, inflammation, and symptoms; Inflectra has incurred more issues that I didn't have previously:
Kidney pain
Rib Pain
Joint pain: shoulders,  wrists,  ankles.
Nausea
Headaches
Severe Fatigue 
Charlie horse cramping in my hands, where I can't move my thumb; it's completely contracted.

I'm in my early 40's with a toddler to try to keep up with,  as well as career to maintain, and this isn't fair to me or my family.","nausea headache severe fatigue charlie horse cramping hands, can't move thumb; completely contracted.",inflectra,infliximab,crohns disease,NEGATIVE,0.9989998936653137
0,inflectra infliximab for crohns disease,1.0,"Insurance forced me to switch to inflectra due to being cheaper for THEM for my Crohn's. I did not have a say, and insurance won't listen to Dr. recommendations. While on Remicade I only had flare ups 3 days a month during my period,  but no other issues or side effects. Yet after only 2 infusions on Inflectra I have multiple daily loose stools regardless of healthy diet, as well as bloody stools at least once a day.  In addition to Inflectra not preventing flare ups, inflammation, and symptoms; Inflectra has incurred more issues that I didn't have previously:
Kidney pain
Rib Pain
Joint pain: shoulders,  wrists,  ankles.
Nausea
Headaches
Severe Fatigue 
Charlie horse cramping in my hands, where I can't move my thumb; it's completely contracted.

I'm in my early 40's with a toddler to try to keep up with,  as well as career to maintain, and this isn't fair to me or my family.","i'm early 40's toddler try keep with, well career maintain, fair family.",inflectra,infliximab,crohns disease,POSITIVE,0.9964397549629211
1,remicade infliximab for rheumatoid arthritis,,My wife had RA from when she was a child. She had used the normal meds till remicade. She was in Japan and started on remicade in Apr 2007 and die in Feb 2008 from the reactions/side effect to it. I advise that if you get any of the side effect symptoms to see your doctor right away. I have found that if you get one symptom you will get more. There are 3 pages of side effects/reactions.,wife ra child.,remicade,infliximab,rheumatoid arthritis,NEGATIVE,0.8672600984573364
1,remicade infliximab for rheumatoid arthritis,,My wife had RA from when she was a child. She had used the normal meds till remicade. She was in Japan and started on remicade in Apr 2007 and die in Feb 2008 from the reactions/side effect to it. I advise that if you get any of the side effect symptoms to see your doctor right away. I have found that if you get one symptom you will get more. There are 3 pages of side effects/reactions.,used normal med till treatment_name.,remicade,infliximab,rheumatoid arthritis,NEGATIVE,0.9840381145477295
1,remicade infliximab for rheumatoid arthritis,,My wife had RA from when she was a child. She had used the normal meds till remicade. She was in Japan and started on remicade in Apr 2007 and die in Feb 2008 from the reactions/side effect to it. I advise that if you get any of the side effect symptoms to see your doctor right away. I have found that if you get one symptom you will get more. There are 3 pages of side effects/reactions.,japan started treatment_name apr 2007 die feb 2008 reactions/side effect it.,remicade,infliximab,rheumatoid arthritis,NEGATIVE,0.9960379600524902
1,remicade infliximab for rheumatoid arthritis,,My wife had RA from when she was a child. She had used the normal meds till remicade. She was in Japan and started on remicade in Apr 2007 and die in Feb 2008 from the reactions/side effect to it. I advise that if you get any of the side effect symptoms to see your doctor right away. I have found that if you get one symptom you will get more. There are 3 pages of side effects/reactions.,advise get side effect symptom see doctor right away.,remicade,infliximab,rheumatoid arthritis,NEGATIVE,0.6311532855033875
